Match Number,Name,Role,Captain,Wicketkeeper,Out String,Out Name,Batting Runs,Balls,4s,6s,Strike Rate,Overs,Maidens,Bowling Runs,Wickets,LBW/Bowled,No Balls,Wides,Economy,Catches,Run Outs,Stumpings
20,Rishabh Pant,WK-Batter,0,0,c Hardik Pandya b Gerald Coetzee,Hardik Pandya,1,3,0,0,33.33,0.0,0,0,0,0,0,0,0.0,0,0.0,0
20,Kumar Kushagra,WK-Batter,0,0,c Tilak Varma b Gerald Coetzee,Tilak Varma,0,1,0,0,0.00,0.0,0,0,0,0,0,0,0.0,0,0.0,0
21,Quinton de Kock,WK-Batter,0,0,c Noor Ahmad b Umesh,Noor Ahmad,6,4,0,1,150.00,0.0,0,0,0,0,0,0,0.0,2,0.0,0
21,Noor Ahmad,Bowler,0,0,c de Kock b Yash Thakur,Quinton de Kock,4,2,1,0,200.00,4,0,22,0,0,0,0,5.50,1,0.0,0
21,KL Rahul,WK-Batter,0,0,c Rahul Tewatia b Darshan Nalkande,Rahul Tewatia,33,31,3,0,106.45,0.0,0,0,0,0,0,0,0.0,1,0.0,0
21,Rahul Tewatia,Allrounder,0,0,c Pooran b Yash Thakur,Nicholas Pooran,30,25,2,2,120.00,0.0,0,0,0,0,0,0,0.0,1,0.0,0
21,Devdutt Padikkal,Batter,0,0,c Vijay Shankar b Umesh,Vijay Shankar,7,7,1,0,100.00,0.0,0,0,0,0,0,0,0.0,0,0.0,0
21,Vijay Shankar,Allrounder,0,0,c Rahul b Yash Thakur,KL Rahul,17,17,0,1,100.00,0.0,0,0,0,0,0,0,0.0,1,0.0,0
21,Marcus Stoinis,Allrounder,0,0,c Sharath BR b Darshan Nalkande,Sharath BR,58,43,4,2,134.88,0.0,0,0,0,0,0,0,0.0,0,0.0,0
21,Sharath BR,WK-Batter,0,1,c Ayush Badoni b Krunal Pandya,Ayush Badoni,2,5,0,0,40.00,0.0,0,0,0,0,0,0,0.0,1,0.0,0
21,Nicholas Pooran,WK-Batter,0,0,not out,,32,22,0,3,145.45,0.0,0,0,0,0,0,0,0.0,1,0.0,0
