Match Number,Name,Role,Captain,Wicketkeeper,Out String,Out Name,Batting Runs,Balls,4s,6s,Strike Rate,Overs,Maidens,Bowling Runs,Wickets,LBW/Bowled,No Balls,Wides,Economy,Catches,Run Outs,Stumpings
1,Axar Patel,Allrounder,0,0,run out ((sub)T Thyagarajan/Jitesh Sharma),Jitesh Sharma,21,13,2,1,161.54,4,0,25,0,0,0,0,6.20,0,0.0,0
1,Sumit Kumar,Allrounder,0,0,c Jitesh Sharma b Arshdeep Singh,Jitesh Sharma,2,9,0,0,22.22,1.2,0,19,0,0,0,2,14.20,0,0.0,0
1,Abishek Porel,WK-Batter,0,0,not out,,32,10,4,2,320.00,0.0,0,0,0,0,0,0,0.0,0,0.0,0
1,Kuldeep Yadav,Bowler,0,0,run out (Shashank Singh/Harshal Patel),Shashank Singh/Harshal Patel,1,2,0,0,50.00,4,0,20,2,0,0,0,5.00,0,0.0,0
1,Harshal Patel,Bowler,0,0,did not bat,,0,0,0,0,0.0,4,0,47,2,0,0,0,11.80,0,0.5,0
1,Khaleel Ahmed,Bowler,0,0,did not bat,,0,0,0,0,0.0,4,0,43,2,1,0,0,10.80,0,0.0,0
1,Ishant Sharma,Bowler,0,0,did not bat,,0,0,0,0,0.0,2,0,16,1,1,0,3,8.00,0,1.0,0
1,Sam Curran,Allrounder,0,0,b Khaleel Ahmed,Khaleel Ahmed,63,47,6,1,134.04,1,0,10,0,0,0,1,10.00,0,0.0,0
1,Arshdeep Singh,Bowler,0,0,did not bat,,0,0,0,0,0.0,4,0,28,2,0,0,2,7.00,0,0.0,0
1,Kagiso Rabada,Bowler,0,0,did not bat,,0,0,0,0,0.0,4,0,36,1,0,0,1,9.00,0,0.0,0
1,Shikhar Dhawan,Batter,1,0,b Ishant,Ishant Sharma,22,16,4,0,137.50,0.0,0,0,0,0,0,0,0.0,0,0.0,0
1,Prabhsimran Singh,WK-Batter,0,0,c Warner b Kuldeep Yadav,David Warner,26,17,5,0,152.94,0.0,0,0,0,0,0,0,0.0,0,0.0,0
1,Liam Livingstone,Allrounder,0,0,not out,,38,21,2,3,180.95,0.0,0,0,0,0,0,0,0.0,0,0.0,0
2,Philip Salt,WK-Batter,0,1,c Marco Jansen b Markande,Marco Jansen,54,40,3,3,135.00,0.0,0,0,0,0,0,0,0.0,0,0.0,0
2,Marco Jansen,Allrounder,0,0,not out,,1,1,0,0,100.00,3,0,40,0,0,0,1,13.30,2,0.0,0
2,Sunil Narine,Allrounder,0,0,run out (Shahbaz Ahmed),Shahbaz Ahmed,2,4,0,0,50.00,4,0,19,1,0,0,0,4.80,0,0.0,0
2,Shahbaz Ahmed,Allrounder,0,0,c Shreyas Iyer b Harshit Rana,Shreyas Iyer,16,5,1,2,320.00,1,0,14,0,0,1,0,14.00,0,1.0,0
2,Venkatesh Iyer,Allrounder,0,0,c Marco Jansen b T Natarajan,Marco Jansen,7,5,1,0,140.00,0.0,0,0,0,0,0,0,0.0,1,0.0,0
2,Shreyas Iyer,Batter,1,0,c Cummins b T Natarajan,Pat Cummins,0,2,0,0,0.00,0.0,0,0,0,0,0,0,0.0,1,0.0,0
2,Pat Cummins,Bowler,1,0,not out,,0,1,0,0,0.00,4,0,32,1,0,0,0,8.00,1,0.0,0
2,Nitish Rana,Batter,0,0,c Tripathi b Markande,Rahul Tripathi,9,11,1,0,81.82,0.0,0,0,0,0,0,0,0.0,0,0.0,0
2,Rahul Tripathi,Batter,0,0,c Harshit Rana b Narine,Harshit Rana,20,20,0,1,100.00,0.0,0,0,0,0,0,0,0.0,1,0.0,0
2,Ramandeep Singh,Batter,0,0,c Markande b Cummins,Mayank Markande,35,17,1,4,205.88,0.0,0,0,0,0,0,0,0.0,0,0.0,0
2,Mayank Markande,Bowler,0,0,did not bat,,0,0,0,0,0.0,4,0,39,2,0,0,0,9.80,1,0.0,0
2,Rinku Singh,Batter,0,0,c Markram b T Natarajan,Aiden Markram,23,15,3,0,153.33,0.0,0,0,0,0,0,0,0.0,2,0.0,0
2,Aiden Markram,Batter,0,0,c Rinku Singh b Chakaravarthy,Rinku Singh,18,13,2,0,138.46,0.0,0,0,0,0,0,0,0.0,1,0.0,0
2,Andre Russell,Allrounder,0,0,not out,,64,25,3,7,256.00,2,0,25,2,0,0,0,12.50,0,0.0,0
2,Mitchell Starc,Bowler,0,0,not out,,6,3,1,0,200.00,4,0,53,0,0,0,6,13.20,0,0.0,0
2,Harshit Rana,Bowler,0,0,did not bat,,0,0,0,0,0.0,4,0,33,3,0,0,0,8.20,1,0.0,0
2,Varun Chakaravarthy,Bowler,0,0,did not bat,,0,0,0,0,0.0,4,0,55,1,0,0,0,13.80,1,0.0,0
2,Suyash Sharma,Bowler,0,0,did not bat,,0,0,0,0,0.0,2,0,18,0,0,0,0,9.00,1,0.0,0
2,Bhuvneshwar Kumar,Bowler,0,0,did not bat,,0,0,0,0,0.0,4,0,51,0,0,1,2,12.80,0,0.0,0
2,T Natarajan,Bowler,0,0,did not bat,,0,0,0,0,0.0,4,0,32,3,0,0,3,8.00,0,0.0,0
2,Mayank Agarwal,Batter,0,0,c Rinku Singh b Harshit Rana,Rinku Singh,32,21,4,1,152.38,0.0,0,0,0,0,0,0,0.0,0,0.0,0
2,Abhishek Sharma,Allrounder,0,0,c Chakaravarthy b Russell,Varun Chakaravarthy,32,19,4,2,168.42,0.0,0,0,0,0,0,0,0.0,0,0.0,0
2,Heinrich Klaasen,WK-Batter,0,1,c Suyash Sharma b Harshit Rana,Suyash Sharma,63,29,0,8,217.24,0.0,0,0,0,0,0,0,0.0,0,0.0,0
2,Abdul Samad,Batter,0,0,c Venkatesh Iyer b Russell,Venkatesh Iyer,15,11,1,1,136.36,0.0,0,0,0,0,0,0,0.0,0,0.0,0
3,Yashasvi Jaiswal,Batter,0,0,c Krunal Pandya b Mohsin Khan,Krunal Pandya,24,12,3,1,200.00,0.0,0,0,0,0,0,0,0.0,0,0.0,0
3,Krunal Pandya,Allrounder,0,0,not out,,3,5,0,0,60.00,4,0,19,0,0,0,0,4.80,1,0.0,0
3,Jos Buttler,WK-Batter,0,0,c Rahul b Naveen-ul-Haq,KL Rahul,11,9,2,0,122.22,0.0,0,0,0,0,0,0,0.0,1,0.0,0
3,KL Rahul,WK-Batter,0,0,c Dhruv Jurel b Sandeep Sharma,Dhruv Jurel,58,44,4,2,131.82,0.0,0,0,0,0,0,0,0.0,2,0.0,0
3,Sanju Samson,WK-Batter,0,0,not out,,82,52,3,6,157.69,0.0,0,0,0,0,0,0,0.0,0,0.0,0
3,Riyan Parag,Allrounder,0,0,c Deepak Hooda b Naveen-ul-Haq,Deepak Hooda,43,29,1,3,148.28,0.0,0,0,0,0,0,0,0.0,0,0.0,0
3,Deepak Hooda,Allrounder,0,0,c Dhruv Jurel b Chahal,Dhruv Jurel,26,13,2,2,200.00,0.0,0,0,0,0,0,0,0.0,1,0.0,0
3,Shimron Hetmyer,Batter,0,0,c Rahul b Ravi Bishnoi,KL Rahul,5,7,0,0,71.43,0.0,0,0,0,0,0,0,0.0,0,0.0,0
3,Dhruv Jurel,WK-Batter,0,0,not out,,20,12,1,1,166.67,0.0,0,0,0,0,0,0,0.0,3,0.0,0
3,Ravichandran Ashwin,Allrounder,0,0,did not bat,,0,0,0,0,0.0,4,0,35,1,0,0,5,8.80,0,0.0,0
3,Sandeep Sharma,Bowler,0,0,did not bat,,0,0,0,0,0.0,3,0,22,1,0,0,1,7.30,0,0.0,0
3,Avesh Khan,Bowler,0,0,did not bat,,0,0,0,0,0.0,3,0,21,0,0,0,2,7.00,0,0.0,0
3,Trent Boult,Bowler,0,0,did not bat,,0,0,0,0,0.0,4,0,35,2,1,0,0,8.80,0,0.0,0
3,Yuzvendra Chahal,Bowler,0,0,did not bat,,0,0,0,0,0.0,3,0,25,1,0,0,1,8.30,0,0.0,0
3,Nandre Burger,Bowler,0,0,did not bat,,0,0,0,0,0.0,3,0,30,1,0,0,0,10.00,1,0.0,0
3,Mohsin Khan,Bowler,0,0,did not bat,,0,0,0,0,0.0,4,0,45,1,0,0,1,11.20,0,0.0,0
3,Naveen-ul-Haq,Bowler,0,0,did not bat,,0,0,0,0,0.0,4,0,41,2,0,0,4,10.20,0,0.0,0
3,Ravi Bishnoi,Bowler,0,0,did not bat,,0,0,0,0,0.0,4,0,38,1,0,0,0,9.50,0,0.0,0
3,Yash Thakur,Bowler,0,0,did not bat,,0,0,0,0,0.0,3,0,43,0,0,1,1,14.30,0,0.0,0
3,Ayush Badoni,Allrounder,0,0,c Jos Buttler b Nandre Burger,Jos Buttler,1,5,0,0,20.00,1,0,6,0,0,0,0,6.00,0,0.0,0
3,Quinton de Kock,WK-Batter,0,0,c Nandre Burger b Boult,Nandre Burger,4,5,1,0,80.00,0.0,0,0,0,0,0,0,0.0,0,0.0,0
3,Devdutt Padikkal,Batter,0,0,b Boult,Trent Boult,0,3,0,0,0.00,0.0,0,0,0,0,0,0,0.0,0,0.0,0
3,Nicholas Pooran,WK-Batter,0,0,not out,,64,41,4,4,156.10,0.0,0,0,0,0,0,0,0.0,0,0.0,0
3,Marcus Stoinis,Allrounder,0,0,c Dhruv Jurel b Ashwin,Dhruv Jurel,3,4,0,0,75.00,0.0,0,0,0,0,0,0,0.0,0,0.0,0
4,Wriddhiman Saha,WK-Batter,0,1,b Bumrah,Jasprit Bumrah,19,15,4,0,126.67,0.0,0,0,0,0,0,0,0.0,1,0.0,0
4,Jasprit Bumrah,Bowler,0,0,not out,,1,1,0,0,100.00,4,0,14,3,1,0,0,3.50,0,0.0,0
4,Shubman Gill,Batter,1,0,c Rohit b Chawla,Rohit Sharma,31,22,3,1,140.91,0.0,0,0,0,0,0,0,0.0,0,0.0,0
4,Rohit Sharma,Batter,0,0,lbw b Sai Kishore,Ravisrinivasan Sai Kishore,43,29,7,1,148.28,0.0,0,0,0,0,0,0,0.0,1,0.0,0
4,Sai Sudharsan,Batter,0,0,c Tilak Varma b Bumrah,Tilak Varma,45,39,3,1,115.38,0.0,0,0,0,0,0,0,0.0,0,0.0,0
4,Tilak Varma,Batter,0,0,c (sub)Abhinav Manohar b Spencer Johnson,,25,19,1,1,131.58,0.0,0,0,0,0,0,0,0.0,2,0.0,0
4,Azmatullah Omarzai,Allrounder,0,0,c Tilak Varma b Gerald Coetzee,Tilak Varma,17,11,1,1,154.55,3,0,27,2,1,0,2,9.00,0,0.0,0
4,David Miller,Batter,0,0,c Hardik Pandya b Bumrah,Hardik Pandya,12,11,1,0,109.09,0.0,0,0,0,0,0,0,0.0,1,0.0,0
4,Hardik Pandya,Allrounder,1,0,c Rahul Tewatia b Umesh,Rahul Tewatia,11,4,1,1,275.00,3,0,30,0,0,0,0,10.00,1,0.0,0
4,Vijay Shankar,Allrounder,0,0,not out,,6,5,0,0,120.00,0.0,0,0,0,0,0,0,0.0,0,0.0,0
4,Rahul Tewatia,Allrounder,0,0,c Naman Dhir b Gerald Coetzee,Naman Dhir,22,15,2,1,146.67,0.0,0,0,0,0,0,0,0.0,1,0.0,0
4,Naman Dhir,Batter,0,0,lbw b Azmatullah,Azmatullah Omarzai,20,10,3,1,200.00,1,0,13,0,0,0,0,13.00,1,0.0,0
4,Rashid Khan,Allrounder,0,0,not out,,4,3,0,0,133.33,4,0,23,0,0,0,0,5.80,1,0.0,0
4,Umesh Yadav,Bowler,0,0,did not bat,,0,0,0,0,0.0,3,0,31,2,0,0,0,10.30,0,0.0,0
4,Ravisrinivasan Sai Kishore,Bowler,0,0,did not bat,,0,0,0,0,0.0,4,0,24,1,1,0,0,6.00,0,0.0,0
4,Spencer Johnson,Bowler,0,0,did not bat,,0,0,0,0,0.0,2,0,25,2,0,0,0,12.50,1,0.0,0
4,Mohit Sharma,Bowler,0,0,did not bat,,0,0,0,0,0.0,4,0,32,2,0,0,1,8.00,1,0.0,0
4,Luke Wood,Allrounder,0,0,did not bat,,0,0,0,0,0.0,2,0,25,0,0,1,1,12.50,0,0.0,0
4,Shams Mulani,Allrounder,0,0,not out,,1,1,0,0,100.00,3,0,24,0,0,0,1,8.00,0,0.0,0
4,Piyush Chawla,Bowler,0,0,c Rashid Khan b Umesh,Rashid Khan,0,1,0,0,0.00,3,0,31,1,0,0,5,10.30,0,0.0,0
4,Gerald Coetzee,Bowler,0,0,c and b Spencer Johnson,Spencer Johnson,1,3,0,0,33.33,4,0,27,2,0,0,0,6.80,0,0.0,0
4,Ishan Kishan,WK-Batter,0,1,c W Saha b Azmatullah,Wriddhiman Saha,0,4,0,0,0.00,0.0,0,0,0,0,0,0,0.0,0,0.0,0
4,Dewald Brevis,Batter,0,0,c and b Mohit Sharma,Mohit Sharma,46,38,2,3,121.05,0.0,0,0,0,0,0,0,0.0,0,0.0,0
4,Tim David,Batter,0,0,c David Miller b Mohit Sharma,David Miller,11,10,1,0,110.00,0.0,0,0,0,0,0,0,0.0,0,0.0,0
5,Shikhar Dhawan,Batter,1,0,c Kohli b Maxwell,Virat Kohli,45,37,5,1,121.62,0.0,0,0,0,0,0,0,0.0,0,0.0,0
5,Virat Kohli,Batter,0,0,c Harpreet Brar b Harshal Patel,Harpreet Brar,77,49,11,2,157.14,0.0,0,0,0,0,0,0,0.0,2,0.0,0
5,Jonny Bairstow,WK-Batter,0,0,c Kohli b Siraj,Virat Kohli,8,6,2,0,133.33,0.0,0,0,0,0,0,0,0.0,0,0.0,0
5,Prabhsimran Singh,WK-Batter,0,0,c Anuj Rawat b Maxwell,Anuj Rawat,25,17,2,2,147.06,0.0,0,0,0,0,0,0,0.0,0,0.0,0
5,Anuj Rawat,WK-Batter,0,1,lbw b Sam Curran,Sam Curran,11,14,1,0,78.57,0.0,0,0,0,0,0,0,0.0,4,0.0,0
5,Liam Livingstone,Allrounder,0,0,c Anuj Rawat b Alzarri Joseph,Anuj Rawat,17,13,1,1,130.77,0.0,0,0,0,0,0,0,0.0,0,0.0,0
5,Sam Curran,Allrounder,0,0,c Anuj Rawat b Yash Dayal,Anuj Rawat,23,17,3,0,135.29,3,0,30,1,1,0,0,10.00,1,0.0,0
5,Jitesh Sharma,WK-Batter,0,1,c Anuj Rawat b Siraj,Anuj Rawat,27,20,1,2,135.00,0.0,0,0,0,0,0,0,0.0,1,0.0,0
5,Shashank Singh,Batter,0,0,not out,,21,8,1,2,262.50,0.0,0,0,0,0,0,0,0.0,0,0.0,0
