Name,Matches,Won,Lost,Tied/NR,Points,NRR
Royal Challengers Bengaluru,10,7,3,0,14,+0.482
Mumbai Indians,11,7,4,0,14,+1.156
Punjab Kings,10,6,3,1,13,+0.376
Gujarat Titans,9,6,3,0,12,+0.793
Delhi Capitals,10,6,4,0,12,+0.362
Lucknow Super Giants,10,5,5,0,10,-0.469
Kolkata Knight Riders,10,4,5,1,9,+0.193
Sunrisers Hyderabad,9,3,6,0,6,-1.192
Rajasthan Royals,11,3,8,0,6,-0.718
Chennai Super Kings,10,2,8,0,4,-0.992
