Name,Matches,Won,Lost,Tied/NR,Points,NRR
Royal Challengers Bengaluru,14,9,5,0,18,+0.482
Punjab Kings,14,8,4,2,18,+0.376
Mumbai Indians,14,8,5,1,17,+1.156
Delhi Capitals,14,7,4,3,17,+0.362
Gujarat Titans,14,8,6,0,16,+0.793
Lucknow Super Giants,14,8,6,0,16,-0.469
Kolkata Knight Riders,14,7,6,1,15,+0.193
Chennai Super Kings,14,5,9,0,10,-0.992
Sunrisers Hyderabad,14,3,10,1,7,-1.192
Rajasthan Royals,14,3,11,0,6,-0.718
