Name,Matches,Won,Lost,Tied/NR,Points,NRR
Mumbai Indians,14,9,5,0,18,+1.156
Punjab Kings,14,8,5,1,17,+0.376
Gujarat Titans,14,8,6,0,16,+0.793
Sunrisers Hyderabad,14,8,6,0,16,-1.192
Royal Challengers Bengaluru,14,7,7,0,14,+0.482
Delhi Capitals,14,7,7,0,14,+0.362
Lucknow Super Giants,14,7,7,0,14,-0.469
Kolkata Knight Riders,14,5,8,1,11,+0.193
Rajasthan Royals,14,5,9,0,10,-0.718
Chennai Super Kings,14,5,9,0,10,-0.992
