Name,Matches,Won,Lost,Tied/NR,Points,NRR
Punjab Kings,14,8,4,2,18,+0.376
Delhi Capitals,14,8,4,2,18,+0.362
Gujarat Titans,14,8,6,0,16,+0.793
Royal Challengers Bengaluru,14,8,6,0,16,+0.482
Mumbai Indians,14,8,6,0,16,+1.156
Lucknow Super Giants,14,8,6,0,16,-0.469
Kolkata Knight Riders,14,7,6,1,15,+0.193
Chennai Super Kings,14,5,9,0,10,-0.992
Sunrisers Hyderabad,14,4,9,1,9,-1.192
Rajasthan Royals,14,3,11,0,6,-0.718
