Name,Matches,Won,Lost,Tied/NR,Points,NRR
Gujarat Titans,14,10,4,0,20,+0.793
Punjab Kings,14,9,3,2,20,+0.376
Royal Challengers Bengaluru,14,8,6,0,16,+0.482
Lucknow Super Giants,14,8,6,0,16,-0.469
Mumbai Indians,14,7,6,1,15,+1.156
Delhi Capitals,14,6,5,3,15,+0.362
Kolkata Knight Riders,14,7,6,1,15,+0.193
Sunrisers Hyderabad,14,4,9,1,9,-1.192
Chennai Super Kings,14,4,10,0,8,-0.992
Rajasthan Royals,14,3,11,0,6,-0.718
