Name,Matches,Won,Lost,Tied/NR,Points,NRR
Kolkata Knight Riders,9,9,3,-3,15,+1.428
Sunrisers Hyderabad,10,8,5,-3,13,+0.414
Rajasthan Royals,10,8,5,-3,13,+0.273
Royal Challengers Bengaluru,10,7,7,-4,10,+0.459
Chennai Super Kings,10,7,7,-4,10,+0.392
Delhi Capitals,11,7,7,-3,11,-0.377
Lucknow Super Giants,10,7,7,-4,10,-0.667
Gujarat Titans,10,5,7,-2,8,-1.063
Punjab Kings,10,5,9,-4,6,-0.353
Mumbai Indians,10,4,10,-4,4,-0.318
