Name,Matches,Won,Lost,Tied/NR,Points,NRR
Lucknow Super Giants,14,9,5,0,18,-0.469
Royal Challengers Bengaluru,14,8,5,1,17,+0.482
Mumbai Indians,14,8,5,1,17,+1.156
Punjab Kings,14,8,5,1,17,+0.376
Gujarat Titans,14,7,5,2,16,+0.793
Delhi Capitals,14,8,6,0,16,+0.362
Kolkata Knight Riders,14,6,6,2,14,+0.193
Sunrisers Hyderabad,14,5,8,1,11,-1.192
Rajasthan Royals,14,4,10,0,8,-0.718
Chennai Super Kings,14,3,11,0,6,-0.992
