Name,Matches,Won,Lost,Tied/NR,Points,NRR
Gujarat Titans,14,9,5,0,18,+0.793
Royal Challengers Bengaluru,14,9,5,0,18,+0.482
Punjab Kings,14,8,5,1,17,+0.376
Delhi Capitals,14,8,5,1,17,+0.362
Mumbai Indians,14,8,6,0,16,+1.156
Kolkata Knight Riders,14,7,6,1,15,+0.193
Lucknow Super Giants,14,6,8,0,12,-0.469
Sunrisers Hyderabad,14,5,8,1,11,-1.192
Rajasthan Royals,14,4,10,0,8,-0.718
Chennai Super Kings,14,4,10,0,8,-0.992
