Name,Matches,Won,Lost,Tied/NR,Points,NRR
Royal Challengers Bengaluru,1,1,0,0,2,+2.137
Lucknow Super Giants,2,1,1,0,2,+0.963
Punjab Kings,1,1,0,0,2,+0.550
Chennai Super Kings,1,1,0,0,2,+0.493
Delhi Capitals,1,1,0,0,2,+0.371
Sunrisers Hyderabad,2,1,1,0,2,-0.128
Kolkata Knight Riders,2,1,1,0,2,-0.308
Mumbai Indians,1,0,1,0,0,-0.493
Gujarat Titans,1,0,1,0,0,-0.550
Rajasthan Royals,2,0,2,0,0,-1.882
